0	-10.14
0.005	-11.32
0.01	-18.31
0.015	-18.33
0.02	-15.3
0.025	-13.9
0.03	-14.15
0.035	-16.83
0.04	-21.1
0.045	-18.96
0.05	-16.49
0.055	-16.49
0.06	-18.46
0.065	-22.71
0.07	-33.57
0.075	-30.61
0.08	-23.97
0.085	-22.72
0.09	-24.16
0.095	-27.44
0.1	-30.36
0.105	-30.48
0.11	-30.42
0.115	-33.22
0.12	-43.01
0.125	-33.53
0.13	-27.73
0.135	-25.54
0.14	-25.3
0.145	-26.63
0.15	-29.29
0.155	-32.23
0.16	-31.94
0.165	-30.33
0.17	-29.56
0.175	-29.42
0.18	-28.93
0.185	-27.92
0.19	-26.99
0.195	-26.63
0.2	-27.09
0.205	-28.31
0.21	-30.12
0.215	-31.34
0.22	-31.09
0.225	-29.96
0.23	-29.06
0.235	-28.51
0.24	-28.18
0.245	-27.86
0.25	-27.55
0.255	-27.47
0.26	-27.73
0.265	-28.44
0.27	-29.24
0.275	-29.74
0.28	-29.47
0.285	-28.91
0.29	-28.43
0.295	-28.31
0.3	-28.51
0.305	-28.91
0.31	-29.51
0.315	-30.24
0.32	-31.21
0.325	-32.12
0.33	-32.73
0.335	-32.59
0.34	-32.25
0.345	-31.98
0.35	-32.2
0.355	-32.68
0.36	-33.26
0.365	-33.44
0.37	-33.11
0.375	-32.36
0.38	-31.47
0.385	-30.61
0.39	-29.85
0.395	-29.33
0.4	-28.98
0.405	-28.83
0.41	-28.65
0.415	-28.43
0.42	-28.04
0.425	-27.64
0.43	-27.24
0.435	-26.97
0.44	-26.81
0.445	-26.76
0.45	-26.83
0.455	-26.97
0.46	-27.2
0.465	-27.4
0.47	-27.61
0.475	-27.76
0.48	-27.94
0.485	-28.16
0.49	-28.5
0.495	-28.97
0.5	-29.55
0.505	-30.27
0.51	-31.01
0.515	-31.85
0.52	-32.62
0.525	-33.44
0.53	-34.2
0.535	-35.04
0.54	-35.99
0.545	-37.12
0.55	-38.52
0.555	-39.95
0.56	-41.4
0.565	-42.14
0.57	-42.37
0.575	-41.9
0.58	-41.49
0.585	-40.96
0.59	-40.68
0.595	-40.39
